service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9901,1,1,1,1,1,0,0,20130715,20130831
9906,0,0,0,0,0,1,0,20130715,20130831
9909,0,0,0,0,0,0,1,20130715,20130831
41601,1,1,1,1,1,0,0,20130715,20130831
41602,1,1,1,1,0,0,0,20130715,20130831
41603,0,1,1,1,1,0,0,20130715,20130831
41604,0,1,1,1,1,0,0,20130715,20130831
41605,0,0,0,0,1,0,0,20130715,20130831
41606,0,0,0,0,0,1,0,20130715,20130831
41607,0,0,0,0,0,1,0,20130715,20130831
41608,0,0,0,0,0,0,1,20130715,20130831
41609,0,0,0,0,0,0,1,20130715,20130831
41610,0,0,1,1,1,1,0,20130715,20130831
41611,0,1,1,1,1,1,0,20130715,20130831
41612,0,1,1,1,1,1,0,20130715,20130831
41613,1,0,0,0,0,0,0,20130715,20130831
41614,1,0,0,0,0,0,0,20130715,20130831
41615,1,0,0,0,0,0,0,20130715,20130831
41616,0,1,0,0,0,0,0,20130715,20130831
41617,0,1,0,0,0,0,0,20130715,20130831
41618,1,0,1,1,1,0,0,20130715,20130831
41619,1,0,1,1,1,0,0,20130715,20130831
41620,0,0,1,0,0,0,0,20130715,20130831
41621,0,0,1,0,0,0,0,20130715,20130831
41622,1,1,0,1,1,0,0,20130715,20130831
41623,1,1,0,1,1,0,0,20130715,20130831
41624,0,0,0,1,0,0,0,20130715,20130831
41625,0,0,0,1,0,0,0,20130715,20130831
41626,1,1,1,0,1,0,0,20130715,20130831
41627,1,1,1,0,1,0,0,20130715,20130831
41628,0,1,1,0,0,0,0,20130715,20130831
41629,0,1,1,0,0,0,0,20130715,20130831
41630,1,0,0,1,1,0,0,20130715,20130831
41631,1,0,0,1,1,0,0,20130715,20130831
41632,1,1,0,0,1,0,0,20130715,20130831
41633,1,1,0,0,1,0,0,20130715,20130831
41634,1,1,1,1,1,0,1,20130715,20130831
41635,1,1,1,1,1,0,1,20130715,20130831
41636,1,1,1,1,1,1,0,20130715,20130831
41637,1,1,1,1,1,1,0,20130715,20130831
41638,1,1,1,1,1,1,0,20130715,20130831
41639,1,1,1,1,1,0,0,20130715,20130831
41640,1,1,1,1,0,0,1,20130715,20130831
104101,1,1,1,1,1,0,0,20130715,20130831
104102,1,1,1,1,0,0,0,20130715,20130831
104103,0,1,1,1,1,0,0,20130715,20130831
104104,0,1,1,1,1,0,0,20130715,20130831
104105,0,0,0,0,1,0,0,20130715,20130831
104106,0,0,0,0,0,1,0,20130715,20130831
104107,0,0,0,0,0,1,0,20130715,20130831
104108,0,0,0,0,0,0,1,20130715,20130831
104109,0,0,0,0,0,0,1,20130715,20130831
104110,0,0,1,1,1,1,0,20130715,20130831
104111,0,1,1,1,1,1,0,20130715,20130831
104112,0,1,1,1,1,1,0,20130715,20130831
104113,1,0,0,0,0,0,0,20130715,20130831
104114,1,0,0,0,0,0,0,20130715,20130831
104115,1,0,0,0,0,0,0,20130715,20130831
104116,0,1,0,0,0,0,0,20130715,20130831
104117,0,1,0,0,0,0,0,20130715,20130831
104118,1,0,1,1,1,0,0,20130715,20130831
104119,1,0,1,1,1,0,0,20130715,20130831
104120,0,0,1,0,0,0,0,20130715,20130831
104121,0,0,1,0,0,0,0,20130715,20130831
104122,1,1,0,1,1,0,0,20130715,20130831
104123,1,1,0,1,1,0,0,20130715,20130831
104124,0,0,0,1,0,0,0,20130715,20130831
104125,0,0,0,1,0,0,0,20130715,20130831
104126,1,1,1,0,1,0,0,20130715,20130831
104127,1,1,1,0,1,0,0,20130715,20130831
104128,0,1,1,0,0,0,0,20130715,20130831
104129,0,1,1,0,0,0,0,20130715,20130831
104130,1,0,0,1,1,0,0,20130715,20130831
104131,1,0,0,1,1,0,0,20130715,20130831
104132,1,1,0,0,1,0,0,20130715,20130831
104133,1,1,0,0,1,0,0,20130715,20130831
104134,1,1,1,1,1,0,1,20130715,20130831
104135,1,1,1,1,1,0,1,20130715,20130831
104136,1,1,1,1,1,1,0,20130715,20130831
104137,1,1,1,1,1,1,0,20130715,20130831
104138,1,1,1,1,1,1,0,20130715,20130831
104139,1,1,1,1,1,0,0,20130715,20130831
104140,1,1,1,1,0,0,1,20130715,20130831
