trip_id,start_time,end_time,headway_secs
221101,04:00:00,07:00:00,900
221103,07:00:00,09:00:00,540
221105,09:00:00,15:00:00,600
221107,15:00:00,18:00:00,540
221109,18:00:00,24:00:00,900
221111,00:00:00,04:00:00,900
222101,04:00:00,07:00:00,900
222103,07:00:00,09:00:00,540
222105,09:00:00,16:00:00,600
222107,16:00:00,19:00:00,540
222109,19:00:00,24:00:00,900
222111,00:00:00,04:00:00,900
221201,04:00:00,07:00:00,900
221203,07:00:00,09:00:00,720
221205,09:00:00,15:00:00,450
221207,15:00:00,18:00:00,300
221209,18:00:00,22:00:00,480
221211,22:00:00,24:00:00,900
221213,00:00:00,04:00:00,900
222201,04:00:00,07:00:00,900
222203,07:00:00,09:00:00,600
222205,09:00:00,16:00:00,450
222207,16:00:00,19:00:00,420
222209,19:00:00,22:00:00,450
222211,22:00:00,24:00:00,900
222213,00:00:00,04:00:00,900
221301,04:00:00,07:00:00,900
221303,07:00:00,09:00:00,900
221305,09:00:00,15:00:00,510
221307,15:00:00,18:00:00,510
221309,18:00:00,24:00:00,720
221311,00:00:00,04:00:00,900
222301,04:00:00,07:00:00,900
222303,07:00:00,09:00:00,900
222305,09:00:00,16:00:00,510
222307,16:00:00,19:00:00,510
222309,19:00:00,24:00:00,720
222311,00:00:00,04:00:00,900
551001,01:00:00,04:00:00,900
552001,01:00:00,04:00:00,900
551002,01:00:00,04:00:00,900
552002,01:00:00,04:00:00,900
551003,01:00:00,04:00:00,900
552003,01:00:00,04:00:00,900
631101,04:00:00,07:00:00,900
631103,07:00:00,09:00:00,510
631105,09:00:00,15:00:00,600
631107,15:00:00,18:00:00,540
631109,18:00:00,25:00:00,900
632101,04:00:00,07:00:00,900
632103,07:00:00,09:00:00,510
632105,09:00:00,16:00:00,600
632107,16:00:00,19:00:00,600
632109,19:00:00,25:00:00,900
631201,04:00:00,07:00:00,1200
631203,07:00:00,09:00:00,900
631205,09:00:00,18:00:00,600
631207,18:00:00,25:00:00,720
632201,04:00:00,07:00:00,1200
632203,07:00:00,09:00:00,900
632205,09:00:00,19:00:00,600
632207,19:00:00,25:00:00,720
631301,04:00:00,09:00:00,1200
631303,09:00:00,22:00:00,600
631305,22:00:00,25:00:00,1200
632301,04:00:00,09:00:00,1200
632303,09:00:00,22:00:00,600
632305,22:00:00,25:00:00,1200
691101,04:00:00,07:00:00,900
691103,07:00:00,09:00:00,540
691105,09:00:00,15:00:00,600
691107,15:00:00,18:00:00,540
691109,18:00:00,25:00:00,720
692101,04:00:00,07:00:00,900
692103,07:00:00,09:00:00,540
692105,09:00:00,16:00:00,600
692107,16:00:00,19:00:00,360
692109,19:00:00,25:00:00,720
691201,04:00:00,07:00:00,900
691203,07:00:00,09:00:00,900
691205,09:00:00,15:00:00,720
