lng,lat
-87.66384485,41.77895341
-87.6615627,41.77899176
-87.65708989,41.77907704
-87.65262427,41.77912956
-87.64958748,41.77917947
-87.64638688,41.77921516
-87.64603328,41.77915168
-87.64571193,41.77908401
-87.64540511,41.77902739
-87.64493962,41.77902241
-87.64402313,41.77902787
-87.63959558,41.77907792
-87.63729965,41.77911883
-87.63564806,41.77914168
-87.63471609,41.77922368
-87.63417696,41.77925985
-87.63375499,41.77929235
-87.63353231,41.77930633
-87.63337381,41.77934262
-87.63309705,41.77948339
-87.63287559,41.77965517
-87.6324562,41.77998793
-87.63218457,41.78019447
-87.63209862,41.78029038
-87.63205106,41.78035583
-87.63201483,41.78045643
-87.63200271,41.78054151
-87.63200039,41.78073826
-87.63202933,41.78154354
-87.63202839,41.78189857
-87.63205123,41.78329585
-87.63204712,41.78367277
-87.63201584,41.78573706
-87.63203495,41.78613385
-87.63200147,41.7862498
-87.63195667,41.78633061
-87.63190013,41.78641355
-87.63184966,41.7864768
-87.63178469,41.78652681
-87.63169615,41.78658982
-87.6315607,41.78665913
-87.63137854,41.78671499
-87.63121118,41.78675561
-87.63096796,41.78677166
-87.63071017,41.78678104
-87.62941253,41.78681912
-87.62792762,41.78684507
-87.62570439,41.78690592
-87.62470014,41.78689315
-87.62411435,41.78690488
-87.62294581,41.78691957
-87.62064984,41.78693823
-87.61873439,41.78697016
-87.61854961,41.7869975
-87.618432,41.7870406
-87.61831993,41.78711222
-87.61822813,41.7872037
-87.61817741,41.78728886
-87.6181432,41.78746835
-87.61817634,41.78896541
-87.61814033,41.78930707
-87.61822686,41.79153426
-87.61827174,41.79329328
-87.61832411,41.79517665
-87.61833897,41.79567595
-87.61836426,41.79703553
-87.61844964,41.79932511
-87.61849305,41.80155635
-87.6185016,41.80209158
-87.61858076,41.80392454
-87.61860345,41.80579359
-87.61861927,41.80608908
-87.61863702,41.80621069
-87.61867351,41.80636576
-87.61870405,41.80648267
-87.6187677,41.80674763
-87.61882613,41.80920884
-87.61885824,41.81059549
-87.61892038,41.81270045
-87.61897875,41.81475314
-87.61903578,41.81646322
-87.61909221,41.81868901
-87.61915941,41.8209525
-87.61916377,41.82113357
-87.61916157,41.82133127
-87.61919544,41.82146879
-87.61926701,41.82158682
-87.61935519,41.82167551
-87.61947857,41.82175013
-87.61959276,41.82179133
-87.61974843,41.82182565
-87.62002213,41.82184164
-87.62146281,41.8218152
-87.62353858,41.82179077
-87.62442737,41.82176767
-87.62480647,41.82175572
-87.62504839,41.82176674
-87.62516282,41.8217865
-87.62531199,41.82183268
-87.62547356,41.82190991
-87.62554596,41.82198659
-87.62558984,41.82205118
-87.62563567,41.82214762
-87.62566812,41.82246139
-87.6257098,41.82478651
-87.62578286,41.82784882
-87.6258665,41.83097552
-87.62588147,41.83167802
-87.62592728,41.83494171
-87.62598202,41.8372178
-87.62600148,41.83827959
-87.62611445,41.84115543
-87.62612467,41.84186734
-87.62614713,41.84270015
-87.62615202,41.84432297
-87.62623007,41.84709832
-87.62625465,41.84747009
-87.62626548,41.84797975
-87.62632412,41.84955158
-87.6263388,41.85024346
-87.6264069,41.85331878
-87.62644477,41.8553772
-87.6264647,41.85646121
-87.62648841,41.85806932
-87.62645577,41.85838881
-87.62641799,41.85875871
-87.62654768,41.8644636
-87.62737222,41.86623386
-87.62740238,41.86736767
-87.62745141,41.86921464
-87.62746905,41.87076337
-87.62745665,41.87189073
-87.62748716,41.87305724
-87.62747912,41.87403924
-87.62751165,41.87471423
-87.62754332,41.87592492
-87.62756582,41.87687452
-87.6275961,41.87815276
-87.62769646,41.88074456
-87.62774837,41.88321471
-87.62781338,41.88480887
-87.62783518,41.88574041
-87.62783085,41.88596106
-87.62793498,41.88783248
-87.62798932,41.8896486
-87.62799534,41.89071471
-87.62802126,41.8916652
-87.6280395,41.8923342
-87.62808817,41.89411885
-87.62812919,41.89562296
-87.62817635,41.89667121
-87.62826415,41.89913649
-87.62829735,41.9002617
-87.62834794,41.90212033
-87.62862013,41.90316336
-87.62864241,41.90364239
-87.6286665,41.90375613
-87.62869478,41.9038185
-87.62874488,41.90387019
-87.62880245,41.903903
-87.6289143,41.90393613
-87.62907711,41.90394525
-87.63141229,41.90392031
-87.63447013,41.9038683
-87.63698055,41.90382479
-87.63895663,41.90379051
-87.63925701,41.90379082
-87.63950553,41.90383366
-87.63971211,41.90391757
-87.63993404,41.90404078
-87.64068611,41.90458051
-87.64554535,41.90806704
-87.64785436,41.90970772
-87.64917727,41.91065458
-87.65069802,41.91174551
-87.65140702,41.91225559
-87.65235283,41.91293355
-87.65242439,41.91298749
-87.65248582,41.91308123
-87.65249098,41.91316184
-87.65249381,41.91326816
-87.65250043,41.91405947
-87.65254835,41.91562579
-87.65260981,41.91717935
-87.65262488,41.91763256
-87.65263982,41.91808172
-87.65264431,41.91821657
-87.65274114,41.92112856
-87.65275988,41.9217182
-87.6528172,41.92352232
-87.65286584,41.92505137
-87.65287507,41.92536849
-87.65289134,41.92599125
-87.6529216,41.92714879
-87.65293544,41.92767809
-87.65295478,41.92841813
-87.65296222,41.92870278
-87.65299317,41.9295075
-87.65302372,41.93030173
-87.6530468,41.93090174
-87.65307037,41.93151468
-87.65309585,41.93217697
-87.65313086,41.9327315
-87.65313731,41.93311676
-87.65319648,41.93445211
-87.65321677,41.9349102
-87.65323493,41.93531994
-87.65326645,41.9360326
-87.65327514,41.93626663
-87.65330865,41.93716958
-87.65332582,41.93763218
-87.65336361,41.93865028
-87.65336788,41.93892875
-87.65337492,41.93938762
-87.65338049,41.93975075
-87.65338299,41.93991377
-87.65339708,41.94083241
-87.65342292,41.94145685
-87.65344193,41.94185235
-87.65345392,41.94217681
-87.65342448,41.94237225
-87.65339746,41.94268218
-87.65337754,41.94288141
-87.65336257,41.9431737
-87.653388,41.94357254
-87.65340241,41.94389158
-87.65341837,41.94406445
-87.65342275,41.94421066
-87.6534747,41.94434829
-87.65351486,41.944477
-87.65353484,41.94538969
-87.65361976,41.94689194
-87.65362593,41.947428
-87.65363554,41.94819887
-87.65364564,41.95059995
-87.65365831,41.95108289
-87.65366049,41.95199547
-87.65362592,41.95245597
-87.65367159,41.95311154
